boor_id,boor_lat,boor_lon,locatie,status
490,52.205837,6.833125,"Kruising Keuperweg-Usseleresweg, Enschede",actief
442,52.219338,6.809051,"Windmolenweg (voor de afslag Haimersweg), Enschede",actief
479,52.223488,6.800564,"Ten noordwesten van kruising Hofdijk-Haimersweg, Enschede",actief
446,52.219285,6.799405,"Westelijk van Haimersweg, nabij A35, Enschede",actief
441,52.217963,6.808775,"Windmolenweg (ten noorden van nabij huisnummer 67), Enschede",actief
487,52.207763,6.826784,"Keuperweg (nabij huisnummer 180), Enschede",actief
488,52.206933,6.828436,"Rosinkweg (nabij huisnummer 40), Enschede",actief
480,52.213899,6.835567,"Nabij Harberinksweg (huisnummer 15), Enschede",actief
481,52.213833,6.836431,"Nabij Harberinksweg (huisnummer 15), Enschede",actief
491,52.205464,6.835144,"Hoek Keuperweg-Usseleresweg, Enschede",actief
447,52.217889,6.79215,"Boekelerhoekweg, Enschede",actief
489,52.206267,6.831085,"Keuperweg (nabij kruispunt met Rosinkweg), Enschede",actief
475,52.211865,6.817439,"Nabij IJzersteden 20, Enschede",actief
476,52.211677,6.817945,"Nabij IJzersteden 20, Enschede",actief
477,52.211495,6.818437,"Nabij IJzersteden 20, Enschede",actief
486,52.209393,6.82956,"Eulderinkweg (nabij kruising met Keuperweg), Enschede",actief
478,52.217937,6.794264,"Boekelerhoekweg, Enschede",actief
55,52.235468,6.800167,"Holmersweg, Hengelo",actief
159,52.23484,6.77917,"zandpad liggend aan Oude Hengelosedijk, Hengelo",actief
