boor_id,boor_lat,boor_lon,locatie,status
132,52.234949,6.782635,"Oude Hengelosedijk, Enschede",inactief
259,52.237482,6.813901,"Baardinkseweg, Hengelo",inactief
343,52.215616,6.799086,"Molenveld, Enschede",inactief
357,52.222616,6.782113,"Wullenweg, Enschede",inactief
311,52.22169,6.801098,"Hofdijk (ten westen van Haimersweg), Enschede",inactief
312,52.22164,6.801665,"Hofdijk (ten westen van Haimersweg), Enschede",inactief
313,52.221595,6.80224,"Hofdijk (ten westen van Haimersweg), Enschede",inactief
337,52.218215,6.796341,"Boekelerhoekweg, nabij A35, Enschede",inactief
338,52.218097,6.796859,"Boekelerhoekweg, nabij A35, Enschede",inactief
445,52.21899,6.801589,"Westelijk van Haimersweg, nabij A35, Enschede",inactief
431,52.218669,6.821797,"Windmolenweg (ten noorden van huisnumer 150), Enschede",inactief
164,52.233223,6.768189,"Wullenweg, west, Enschede",inactief
156,52.23481,6.775292,"Boeldershoek (westelijk van Twence), Enschede",inactief
363,52.220052,6.819835,"Grote Esweg, Enschede",inactief
328,52.222054,6.809226,"Nabij Hofdijk 313, Enschede",inactief
202,52.224,6.797401,"Hofdijk (tussen Tienbunderweg en Grote Veldweg), Enschede",inactief
355,52.22328,6.78219,"Wullenweg, Enschede",inactief
381,52.210307,6.814954,"Marssteden tegenover nummer 200, Enschede",inactief
382,52.210495,6.814455,"Marssteden tegenover nummer 200, Enschede",inactief
383,52.210757,6.814079,"Marssteden tegenover nummer 200, Enschede",inactief
472,52.213742,6.820623,"Staalsteden tegenover nummer 26, Enschede",inactief
473,52.213771,6.820036,"Staalsteden tegenover nummer 26, Enschede",inactief
474,52.213824,6.819461,"Staalsteden tegenover nummer 26, Enschede",inactief
203,52.224276,6.797763,"Hofdijk (tussen Tienbunderweg en Grote Veldweg), Enschede",inactief
334,52.225351,6.808746,"Haimersweg, Enschede",inactief
344,52.215559,6.798509,"Molenveld, tegenover nummer 61, Enschede",inactief
345,52.215526,6.797937,"Molenveld, tegenover nummer 61, Enschede",inactief
348,52.215291,6.794274,"Molenveld, tegenover nummer 61, Enschede",inactief
246,52.218098,6.835325,"Auke Vleerstraat (nabij kruising met fietsbrug Windmolenweg), Enschede",inactief
304,52.216082,6.811243,"Tegenover Marssteden 61, Enschede",inactief
309,52.221935,6.798108,"Hofdijk (tussen Haimersweg en Rijksweg A35), Enschede",inactief
332,52.223919,6.807017,"Hofdijk t.o. Haimersweg 200, Enschede",inactief
310,52.221891,6.798676,"Hofdijk, Enschede",inactief
467,52.228256,6.833274,"Burgemeester Stroinkstraat, Enschede",inactief
333,52.224176,6.80653,"Hofdijk, Enschede",inactief
358,52.218137,6.816704,"Zwartevennenweg, Enschede",inactief
468,52.227925,6.833028,"Achter Veldgeuverweg 20, Enschede",inactief
308,52.221983,6.797543,"Hofdijk, Enschede",inactief
352,52.222167,6.791128,"Vloeiweidenweg, Enschede (kruispunt Kwinkelerweg)",inactief
353,52.222112,6.791706,"Vloeiweidenweg, Enschede (kruispunt Kwinkelerweg)",inactief
354,52.222056,6.792292,"Vloeiweidenweg, Enschede (kruispunt Kwinkelerweg)",inactief
464,52.229962,6.835201,"Burgemeester Stroinkstraat 320, Enschede",inactief
466,52.228602,6.833403,"Burgemeester Stroinkstraat 320, Enschede",inactief
