,datum,meting
0,2015-04-07,0.0
1,2015-05-01,-0.0048
2,2015-06-18,-0.0079
3,2015-07-12,-0.0035
4,2015-08-05,-0.004
5,2015-08-29,-0.0053
6,2015-09-22,-0.0096
7,2015-10-16,-0.0075
8,2015-11-09,-0.0044
9,2015-12-03,0.0039
10,2015-12-27,-0.0136
11,2016-01-20,-0.0072
12,2016-02-13,-0.0042
13,2016-03-08,-0.0033
14,2016-04-01,-0.0075
15,2016-04-25,-0.002
16,2016-05-19,-0.0076
17,2016-06-12,-0.0045
18,2016-07-06,-0.0003
19,2016-07-30,-0.0045
20,2016-08-23,-0.0046
21,2016-09-16,-0.0031
22,2016-10-10,-0.0065
23,2016-11-03,-0.0038
24,2016-11-27,-0.0078
25,2016-12-21,-0.0064
26,2017-01-14,-0.0051
27,2017-02-07,-0.0074
28,2017-03-03,-0.0057
29,2017-03-27,-0.0062
30,2017-04-20,-0.008
31,2017-05-14,-0.0081
32,2017-06-07,0.0011
33,2017-07-01,0.0005
34,2017-07-25,-0.0041
35,2017-08-18,-0.0054
36,2017-09-11,-0.0072
37,2017-10-05,-0.0077
38,2017-10-29,0.0007
39,2017-11-22,-0.0083
40,2017-12-16,-0.0081
41,2018-01-09,-0.0086
42,2018-02-02,-0.0084
43,2018-02-26,-0.0054
44,2018-03-22,-0.0076
45,2018-04-15,-0.0114
46,2018-05-09,-0.0076
47,2018-06-02,-0.0092
48,2018-06-26,-0.0039
49,2018-07-20,-0.0078
50,2018-08-13,-0.0053
51,2018-09-06,-0.0059
52,2018-09-30,-0.0084
53,2018-10-24,-0.0044
54,2018-11-17,-0.007
55,2018-12-11,-0.0097
